License.Number,Facility.Name,address,Phone,Facility.Type,Permit.Type,latitude,longitude,Website
97000300,A CHILD'S LIFE,1302 2ND  ST  N WILKESBORO NC 28659,"
(336) 818-2333",Center,Four Star Center License,36.17505193,-81.14353161,https://ncchildcare.ncdhhs.gov/childcaresearch
74000793,A CHILD'S PLACE,532 MOYE BLVD GREENVILLE NC 27835,"
(252) 320-7555",Center,Five Star Center License,35.61233323,-77.40112112,https://ncchildcare.ncdhhs.gov/childcaresearch
5155111,A CHILD'S PLACE #1,9 NOBLE ST SMITHFIELD NC 27577,"
(919) 934-6291",Center,Five Star Center License,35.52192527,-78.30513081,https://ncchildcare.ncdhhs.gov/childcaresearch
29000751,A CHILD'S WORLD,234 CEDAR LODGE  RD  THOMASVILLE NC 27360,"
(336) 474-2211",Center,Four Star Center License,35.84672263,-80.0824608,https://ncchildcare.ncdhhs.gov/childcaresearch
30000059,A CHILD'S WORLD LEARNING CENTER BERMUDA RUN,126 COMMERCE DR BERMUDA RUN NC 27006,"
(336) 940-3975",Center,Five Star Center License,36.00687826,-80.43481251,https://ncchildcare.ncdhhs.gov/childcaresearch
34000740,A CHILD'S WORLD LEARNING CENTER CLEMMONS,2005 LEWISVILLE CLEMMONS  RD  CLEMMONS NC 27012,"
(336) 766-8222",Center,Four Star Center License,36.05260147,-80.38862373,https://ncchildcare.ncdhhs.gov/childcaresearch
34000023,A CHILD'S WORLD LEARNING CENTER DOWNTOWN,702 N CHERRY  ST  WINSTON-SALEM NC 27101,"
(336) 721-0105",Center,Four Star Center License,36.10294355,-80.24801811,https://ncchildcare.ncdhhs.gov/childcaresearch
86000429,A CHILD'S WORLD LEARNING CENTER PILOT MOUNTAIN,320 OLD WFIELD  RD  PILOT MOUNTAIN NC 27041,"
(336) 444-9088",Center,Four Star Center License,36.39436152,-80.47187341,https://ncchildcare.ncdhhs.gov/childcaresearch
78000332,A GIFT FROM GOD CHILDCARE,8467 DEEP BRANCH  RD  PEMBROKE NC 28372,(910) 733-1062,Center,Three Star Center License,34.67015856,-79.2054543,https://ncchildcare.ncdhhs.gov/childcaresearch
78000185,A GIFT FROM GOD DAYCARE,97 SURF LN MAXTON NC 28364,(910) 733-5240,Center,Three Star Center License,34.69606703,-79.25500486,https://ncchildcare.ncdhhs.gov/childcaresearch
86000359,A GRACE ACADEMY OF MT. AIRY,170 HARTWAY LN MOUNT AIRY NC 27030,"
(336) 789-7771",Center,Three Star Center License,36.48096064,-80.57857756,https://ncchildcare.ncdhhs.gov/childcaresearch
92003820,A HAPPY PLACE TO BEE,801 W GARNER RD GARNER NC 27529,(919) 232-1801,Center,Four Star Center License,35.71101226,-78.6127246,https://ncchildcare.ncdhhs.gov/childcaresearch
60004194,A HOME JUST LIKE HOME,2501 TUCKASEEGEE RD CHARLOTTE NC 28208,(704) 606-7929,Center,Three Star Center License,35.23753813,-80.87512629,https://ncchildcare.ncdhhs.gov/childcaresearch
90000544,A KID'S PLACE,100 NAVAJO TRAIL INDIAN TRAIL NC 28079,"
(704) 882-3440",Center,GS 110-106,35.07756517,-80.66812619,https://ncchildcare.ncdhhs.gov/childcaresearch
38000004,A KID'S PLACE,52 MOOSE BRANCH RD ROBBINSVILLE NC 28771,"
(828) 479-2168",Center,Five Star Center License,35.32535156,-83.80960434,https://ncchildcare.ncdhhs.gov/childcaresearch
92002888,A KIND GARDEN,838 BELMONT DR RALEIGH NC 27610,(919) 671-8125,Center,Five Star Center License,35.76560585,-78.60367775,https://ncchildcare.ncdhhs.gov/childcaresearch
80000384,A MOTHER'S CHOICE CHILDCARE CENTER,1319 STANDISH  ST  SALISBURY NC 28144,(980) 330-3011,Center,Three Star Center License,35.67217693,-80.48964688,https://ncchildcare.ncdhhs.gov/childcaresearch
60003666,A MOTHER'S DREAM LEARNING CENTER,2125 NORWICH PLACE CHARLOTTE NC 28208,(704) 449-1858,Center,Four Star Center License,35.21156917,-80.89182172,https://ncchildcare.ncdhhs.gov/childcaresearch
60004311,A Mother's Love Academy,6000 QUIET COVE CT CHARLOTTE NC 28215,(980) 565-7786,Center,Five Star Center License,35.25650286,-80.74284887,https://ncchildcare.ncdhhs.gov/childcaresearch
60004188,A MOTHER'S LOVE TOO,2915 N SHARON AMITY  RD  CHARLOTTE NC 28205,(704) 236-6914,Center,Five Star Center License,35.19809267,-80.76142457,https://ncchildcare.ncdhhs.gov/childcaresearch
92003352,"A MOTHER'S TOUCH CHILD DEVELOPMENT
CENTER",3701-130 SUMNER BLVD RALEIGH NC 27616,"
(919) 877-0101",Center,Four Star Center License,35.86343473,-78.57284271,https://ncchildcare.ncdhhs.gov/childcaresearch
92001891,"A MOTHER'S TOUCH CHILD DEVELOPMENT CENTER, INC.",8448 HAINES CREEK LN RALEIGH NC 27616,(919) 877-0101,Center,Four Star Center License,35.89130048,-78.55070922,https://ncchildcare.ncdhhs.gov/childcaresearch
60002374,A MOTHER'S TOUCH FAMILY CHILDCARE,5200 ROCKWOOD  RD  CHARLOTTE NC 28216,(704) 395-0352,Center,Four Star Center License,35.29559329,-80.87838584,https://ncchildcare.ncdhhs.gov/childcaresearch
7000225,A NEW ADVENTURE,148 AVON AVE WASHINGTON NC 27889,"
(252) 940-4440",Center,Five Star Center License,35.54876955,-77.03135263,https://ncchildcare.ncdhhs.gov/childcaresearch
32001683,A NEW BEGINNING,3807 UNIVERSITY DR DURHAM NC 27707,(919) 490-1924,Center,Five Star Center License,35.96663531,-78.95119967,https://ncchildcare.ncdhhs.gov/childcaresearch
18000434,A NEW BEGINNING CHILDREN'S LEARNING CENTER,15 E 22ND  ST  NEWTON NC 28658,(828) 465-2515,Center,Five Star Center License,35.68508496,-81.21846309,https://ncchildcare.ncdhhs.gov/childcaresearch
14000367,"A NEW BEGINNING CHILDREN'S LEARNING CENTER, INC.",2126 SW HAVEN CIRCLE LENOIR NC 28645,(828) 726-8630,Center,Five Star Center License,35.87766137,-81.51361358,https://ncchildcare.ncdhhs.gov/childcaresearch
32001805,A NEW BEGINNING II,1821 CHAPEL HILL  RD  DURHAM NC 27707,(919) 489-0919,Center,Five Star Center License,35.98954457,-78.92447709,https://ncchildcare.ncdhhs.gov/childcaresearch
32001908,A NEW BEGINNING III,3809 UNIVERSITY DR DURHAM NC 27707,(919) 490-1924,Center,Five Star Center License,35.96662973,-78.95123232,https://ncchildcare.ncdhhs.gov/childcaresearch
32002186,A NEW BEGINNING IV,212 DAVIDSON AVE DURHAM NC 27704,(919) 220-0055,Center,Five Star Center License,36.01845287,-78.88979549,https://ncchildcare.ncdhhs.gov/childcaresearch
32002355,A New Beginning V,1301 RIDDLE  RD  DURHAM NC 27713,(919) 598-1573,Center,Temporary License,35.95131319,-78.90007758,https://ncchildcare.ncdhhs.gov/childcaresearch
64000362,A NEW DAY CHILD CARE,105 CLINTON CT ROCKY MOUNT NC 27804,"
(252) 937-6390",Center,Three Star Center License,35.96541548,-77.83634009,https://ncchildcare.ncdhhs.gov/childcaresearch
29000763,A NEW HOPE FOR ALL AFTERCARE LLC,107 B LEONARD  ST  THOMASVILLE NC 27360,"
(336) 313-6611",Center,Three Star Center License,35.88873444,-80.08060716,https://ncchildcare.ncdhhs.gov/childcaresearch
74000948,A Place to Call Home Childcare Center,2502 DICKINSON AVE GREENVILLE NC 27834,"
(252) 702-4818",Center,Temporary License,35.59596345,-77.40179809,https://ncchildcare.ncdhhs.gov/childcaresearch
13000255,A PLACE TO GROW,2300 ROBERTA  RD  CONCORD NC 28027,(704) 792-0140,Center,Four Star Center License,35.37266652,-80.61478909,https://ncchildcare.ncdhhs.gov/childcaresearch
55000081,A PLACE TO GROW,410 N POPLAR ST REET  LINCOLNTON NC28092,"
(704) 732-1745",Center,Five Star Center License,35.47501226,-81.2553107,https://ncchildcare.ncdhhs.gov/childcaresearch
26002584,A Place to Grow DayCare LLC,3119 BOONE TRAIL FAYETTEVILLE NC 28306,(910) 491-7556,Center,Temporary License,35.02767594,-78.92831655,https://ncchildcare.ncdhhs.gov/childcaresearch
41002492,A PURPOSEFUL PLACE,2212 ECHESTER DR HIGH POINT NC 27265,"
(336) 708-0225",Center,Temporary License,36.02167572,-79.97455355,https://ncchildcare.ncdhhs.gov/childcaresearch
60003389,A QUALITY DAP CHILD CARE CENTER,2025 ASHLEY  RD  CHARLOTTE NC 28208,(980) 406-3373,Center,Four Star Center License,35.2360082,-80.89723782,https://ncchildcare.ncdhhs.gov/childcaresearch
41002295,A ROYAL START,4201 FURNITURE AVE JAMESTOWN NC 27282,"
(336) 337-7882",Center,Three Star Center License,35.96661978,-79.92268899,https://ncchildcare.ncdhhs.gov/childcaresearch
92001810,A SAFE PLACE CHILD ENRICHMENT CENTER,1216 CROSSLINK  RD  RALEIGH NC 27610,(919) 833-9330,Center,Five Star Center License,35.74781857,-78.62008442,https://ncchildcare.ncdhhs.gov/childcaresearch
92003954,A Safe Place Child Enrichment Center Inc. #2,2625 TRAWICK RD RALEIGH NC 27604,(919) 594-1800,Center,Five Star Center License,35.81585668,-78.57965587,https://ncchildcare.ncdhhs.gov/childcaresearch
92002296,A SAFE PLACE EARLY LEARNING CENTER,201 CLARENDON CRESCENT RALEIGH NC 27610,(919) 899-3536,Center,Five Star Center License,35.78212015,-78.60340279,https://ncchildcare.ncdhhs.gov/childcaresearch
36000325,A TODDLER TECH UNIVERSITY,1223 CRAIG  ST  GASTONIA NC 28054,(704) 866-5251,Center,Four Star Center License,35.26446307,-81.16027892,https://ncchildcare.ncdhhs.gov/childcaresearch
36000419,A WALLER LEARNING CENTER,133 JARRETT  RD  DALLAS NC 28034,(704) 922-8773,Center,Four Star Center License,35.32836579,-81.15107091,https://ncchildcare.ncdhhs.gov/childcaresearch
14000432,A WORLD OF DISCOVERY CDC/PRESCHOOL,1108 ROSEDALE DR LENOIR NC 28645,(828) 728-7590,Center,Four Star Center License,35.87695859,-81.5372096,https://ncchildcare.ncdhhs.gov/childcaresearch
66000095,A&J KIDDIELAND CHILD CARE CENTER,924 S MAIN  ST  RICH SQUARE NC 27869,"
(252) 539-1011",Center,Three Star Center License,36.2646744,-77.29081762,https://ncchildcare.ncdhhs.gov/childcaresearch
90000153,A+ CHILDCARE & LEARNING CENTER,109 CAMELIA DR MONROE NC 28110,(704) 275-4242,Center,Five Star Center License,34.99868715,-80.5457881,https://ncchildcare.ncdhhs.gov/childcaresearch
51000861,A+ LEARNING ACADEMY,61 TECHNOLOGY DR GARNER NC 27529,(919) 779-3800,Center,Three Star Center License,35.6063409,-78.56922287,https://ncchildcare.ncdhhs.gov/childcaresearch
64000350,A. J. RICHARDSON HEAD START CENTER,850 S FRANKLIN  ST  ROCKY MOUNT NC 27802,"
(252) 442-3506",Center,Five Star Center License,35.93337472,-77.80227902,https://ncchildcare.ncdhhs.gov/childcaresearch
13000413,A. T. ALLEN KIDS: PLUS,3939 ABILENE  RD  CONCORD NC 28025,(704) 260-6067,Center,Five Star Center License,35.36493578,-80.51355952,https://ncchildcare.ncdhhs.gov/childcaresearch
1155046,A.C. REYNOLDS CHILD CARE,1 ROCKET DR ASHEVILLE NC 28803,"
(828) 298-2543",Center,Five Star Center License,35.54704682,-82.47888234,https://ncchildcare.ncdhhs.gov/childcaresearch
92003886,ABBOTTS CREEK ELEMENTARY,9900 DURANT RD RALEIGH NC 27614,(919) 694-0555,Center,Five Star Center License,35.90024431,-78.57705492,https://ncchildcare.ncdhhs.gov/childcaresearch
60001879,ABC ACADEMY,4821 E WT HARRIS BLVD CHARLOTTE NC 28215,(704) 567-1655,Center,Five Star Center License,35.24910616,-80.73713824,https://ncchildcare.ncdhhs.gov/childcaresearch
98000120,"ABC ACADEMY OF BLACK CREEK, INC.",112 CHURCH  ST  BLACK CREEK NC 27813,(252) 243-2315,Center,Four Star Center License,35.63934674,-77.93861512,https://ncchildcare.ncdhhs.gov/childcaresearch
35000026,ABC ADVENTURES PRESCHOOL AND CHILD CARE,118 INDUSTRIAL DR LOUISBURG NC 27549,"
(919) 496-2886",Center,Five Star Center License,36.10429847,-78.29224913,https://ncchildcare.ncdhhs.gov/childcaresearch
60003600,ABC DAYCARE,8337 E WT HARRIS BLVD CHARLOTTE NC 28227,(704) 884-6944,Center,Four Star Center License,35.20728055,-80.72596667,https://ncchildcare.ncdhhs.gov/childcaresearch
41002360,ABC DAYCARE CENTER,606 MERRITT DR GREENSBORO NC 27407,"
(336) 202-8677",Center,Four Star Center License,36.0620036,-79.85515125,https://ncchildcare.ncdhhs.gov/childcaresearch
92001651,"ABC LAND, INC II",55 LILES DEAN RD WENDELL NC 27591,(919) 365-0810,Center,Five Star Center License,35.79260484,-78.38124379,https://ncchildcare.ncdhhs.gov/childcaresearch
92001611,"ABC LAND, INC.",610 RAYMOND DR WENDELL NC 27591,(919) 365-3212,Center,Five Star Center License,35.78546563,-78.35783578,https://ncchildcare.ncdhhs.gov/childcaresearch
78000395,ABC PRE-K,5089 OLD WHITEVILLE  RD  LUMBERTON NC 28358,(910) 739-9425,Center,GS 110-106,34.57433694,-78.91637081,https://ncchildcare.ncdhhs.gov/childcaresearch
63000519,ABERDEEN ELEMENTARY PRESCHOOL,525 FARRELL PARKWAY ABERDEEN NC 28315,"
(910) 947-8030",Center,Five Star Center License,35.14309702,-79.45735392,https://ncchildcare.ncdhhs.gov/childcaresearch
1855074,ABERNETHY MEMORIAL CHILD DEVELOPMENT CENTER,1220 N SHIPP AVE NEWTON NC 28658,(828) 464-7620,Center,Five Star Center License,35.67363313,-81.22182639,https://ncchildcare.ncdhhs.gov/childcaresearch
41002461,ABG PROVIDER SERVICES CHILD CARE,2607 E WENDOVER AVE GREENSBORO NC 27405,"
(336) 676-4494",Center,Five Star Center License,36.08771919,-79.75280959,https://ncchildcare.ncdhhs.gov/childcaresearch
41002286,ABG PROVIDER SERVICES CHILD CARE II,2211 JANE  ST  GREENSBORO NC 27407,"
(336) 279-8885",Center,Five Star Center License,36.03815821,-79.86290642,https://ncchildcare.ncdhhs.gov/childcaresearch
74000313,ABOVE & BEYOND CHILD CARE,1933 N MEMORIAL DR GREENVILLE NC 27834,"
(252) 752-9020",Center,Five Star Center License,35.64115157,-77.37095,https://ncchildcare.ncdhhs.gov/childcaresearch
49000466,ABOVE & BEYOND EARLY LEARNING CENTER,141 W STATESVILLE AV ENUE  MOORESVILLE NC28115,"
(704) 712-9863",Center,Three Star Center License,35.58830635,-80.80418787,https://ncchildcare.ncdhhs.gov/childcaresearch
67001206,ABOVE & BEYOND EARLY LEARNING CENTER 2 LLC,15 E DORIS AVE JACKSONVILLE NC 28540,"
(910) 333-0111",Center,Four Star Center License,34.77825453,-77.4172718,https://ncchildcare.ncdhhs.gov/childcaresearch
56000188,ABOVE AND BEYOND CHILDCARE,3 GEORGIA  RD  FRANKLIN NC 28734,"
(828) 371-1382",Center,Three Star Center License,35.1740386,-83.38629044,https://ncchildcare.ncdhhs.gov/childcaresearch
91000220,ABOVE AND BEYOND CHILDCARE CENTER,705 ALEXANDER AVE HENDERSON NC 27536,(252) 492-0474,Center,Five Star Center License,36.31535935,-78.39761348,https://ncchildcare.ncdhhs.gov/childcaresearch
67001166,ABOVE AND BEYOND EARLY LEARNING CENTER,19TH E DORIS AVE JACKSONVILLE NC 28546,(910) 968-0033,Center,Four Star Center License,34.77804174,-77.41763839,https://ncchildcare.ncdhhs.gov/childcaresearch
42000019,ABRAM'S CHILD CARE CENTER,6576 HWY 561 TILLERY NC 27887,"
(252) 826-5519",Center,Four Star Center License,36.25071862,-77.48214033,https://ncchildcare.ncdhhs.gov/childcaresearch
60003511,ABSOLUTE CHILD CARE,4111 FREEDOM DR CHARLOTTE NC 28208,(704) 393-0432,Center,Four Star Center License,35.25367653,-80.90378964,https://ncchildcare.ncdhhs.gov/childcaresearch
67000994,ABUNDANCE OF LOVE & LEARNING CENTER,1510 GUM BRANCH  RD  JACKSONVILLE NC 28540,(910) 353-4699,Center,Five Star Center License,34.78330582,-77.42179701,https://ncchildcare.ncdhhs.gov/childcaresearch
32002293,ABUNDANT LOVE CHRISTIAN DAYCARE,4823 MEADOW DR  DURHAM NC 27713,(919) 908-9551,Center,Four Star Center License,35.8985628,-78.89493617,https://ncchildcare.ncdhhs.gov/childcaresearch
74000921,ABUNDANTLY CHOZEN LEARNING CENTER,307 SPRUCE  ST  GREENVILLE NC 27834,"
(252) 689-6530",Center,Four Star Center License,35.60858723,-77.38298844,https://ncchildcare.ncdhhs.gov/childcaresearch
26000232,ACADEME CHILD DEVELOPMENT CENTER,1918 CENTER ST FAYETTEVILLE NC 28306,(910) 486-7611,Center,Three Star Center License,35.0252297,-78.89609953,https://ncchildcare.ncdhhs.gov/childcaresearch
92001241,ACADEMICALLY BASED CHILD,916 ROCK QUARRY RD RALEIGH NC 27610,(919) 833-1640,Center,Five Star Center License,35.76932974,-78.61826284,https://ncchildcare.ncdhhs.gov/childcaresearch
11000943,ACADEMY AT BILTMORE CHURCH,35 CLAYTON RD ARDEN NC 28704,(828) 687-1111,Center,GS 110-106,35.48601267,-82.57154656,https://ncchildcare.ncdhhs.gov/childcaresearch
41002187,ACADEMY KIDS ENRICHMENT CENTER,1302 SUMMIT AVE GREENSBORO NC 27405,"
(336) 275-6999",Center,Three Star Center License,36.09239454,-79.77090108,https://ncchildcare.ncdhhs.gov/childcaresearch
51000829,ACADEMY OF ANGELS,551 W MAIN  ST  CLAYTON NC 27520,(919) 585-7077,Center,Four Star Center License,35.65743373,-78.46524094,https://ncchildcare.ncdhhs.gov/childcaresearch
41000966,"ACADEMY OF SPOILED KIDS, INC",2845 CAMBORNE  ST  GREENSBORO NC 27407,"
(336) 856-7001",Center,Five Star Center License,36.05519327,-79.84217126,https://ncchildcare.ncdhhs.gov/childcaresearch
32001582,ACADEMY OF STARS,1222 HOLLOWAY  ST  DURHAM NC 27701,(919) 687-0862,Center,Three Star Center License,35.99439401,-78.87959638,https://ncchildcare.ncdhhs.gov/childcaresearch
24000121,ACME-DELCO ELEMENTARY PRE-K,16337 OLD LAKE  RD  RIEGELWOOD NC 28456,(910) 655-2957,Center,Five Star Center License,34.34738001,-78.25493883,https://ncchildcare.ncdhhs.gov/childcaresearch
49000454,ADVANCE PRESCHOOL/MERA JAMS,633 W MCLELLAND AVE MOORESVILLE NC 28115,(704) 663-2263,Center,Five Star Center License,35.58739205,-80.82405486,https://ncchildcare.ncdhhs.gov/childcaresearch
80000056,ADVANTAGE CHILDREN'S CENTER,200 OLD AMITY HILL   RD   CLEVELAND NC27013,"
(704) 278-0082",Center,Five Star Center License,35.72823762,-80.69393209,https://ncchildcare.ncdhhs.gov/childcaresearch
13000605,ADVENTURE CHILDREN'S ACADEMY,4245 MAIN  ST  HARRISBURG NC 28075,(704) 456-7075,Center,Three Star Center License,35.32687909,-80.64848162,https://ncchildcare.ncdhhs.gov/childcaresearch
26002307,ADVENTURE IN FUN,5976 MONTEREY CT FAYETTEVILLE NC 28314,(910) 273-5533,Center,Three Star Center License,35.07740883,-78.99216914,https://ncchildcare.ncdhhs.gov/childcaresearch
67000840,ADVENTURES AT MAI'S EDUCATIONAL CHRISTIAN CC,213 KELLUMTOWN  RD  HUBERT NC 28539,(910) 317-7932,Center,Three Star Center License,34.71429756,-77.28053589,https://ncchildcare.ncdhhs.gov/childcaresearch
43000396,"ADVENTURES UNDER THE SUN CHILDCARE DEV. CENTER, IN",803 LUCAS  ST  ERWIN NC 28339,(910) 897-7865,Center,Five Star Center License,35.32772041,-78.66278667,https://ncchildcare.ncdhhs.gov/childcaresearch
51000714,"ADVENTURES UNDER THE SUN, INC. III",101 CIVITAN RD FOUR OAKS NC 27524,"
(919) 963-3780",Center,Five Star Center License,35.45232087,-78.4344898,https://ncchildcare.ncdhhs.gov/childcaresearch
92003988,Afreya's Playground,2117 PINEY PLAINS RD CARY NC 27518,"
(984) 377-4902",Center,Temporary License,35.75241926,-78.7514633,https://ncchildcare.ncdhhs.gov/childcaresearch
41001253,AFS CHILD CARE,3 LEITZEL CT GREENSBORO NC 27406,"
(336) 378-1727",Center,Four Star Center License,36.01665757,-79.81151882,https://ncchildcare.ncdhhs.gov/childcaresearch
8000071,AFTERSCHOOL B.E.L.L.S.,106 N QUEEN  ST  WINDSOR NC 27983,"
(252) 794-9709",Center,Five Star Center License,35.99779417,-76.94803353,https://ncchildcare.ncdhhs.gov/childcaresearch
68000573,AFTON NATURE SCHOOL,109 HILLCREST AVE CARRBORO NC 27510,"
(919) 636-2836",Center,Five Star Center License,35.92003309,-79.07254038,https://ncchildcare.ncdhhs.gov/childcaresearch
41002364,AGAPE LOVE CHILD CARE AND DEVELOPMENT,4116 WALKER AVE GREENSBORO NC 27407,"
(336) 541-8449",Center,Three Star Center License,36.0692202,-79.84882431,https://ncchildcare.ncdhhs.gov/childcaresearch
32001997,AL-HUDA ACADEMY,5104 REVERE  RD  DURHAM NC 27713,(919) 572-9500,Center,GS 110-106,35.89339787,-78.90956616,https://ncchildcare.ncdhhs.gov/childcaresearch
159010,ALAMANCE CHRISTIAN SCHOOL DAY CARE,1336 TOWNBRANCH  RD  GRAHAM NC 27253,"
(336) 578-0318",Center,GS 110-106,36.07307902,-79.37222684,https://ncchildcare.ncdhhs.gov/childcaresearch
4159006,ALAMANCE PRESBYTERIAN CHILD DEVELOPMENT CENTER,4000 PRESBYTERIAN  RD  GREENSBORO NC 27406,"
(336) 698-0122",Center,Probationary GS 110-106,36.02428383,-79.70772294,https://ncchildcare.ncdhhs.gov/childcaresearch
7055038,ALBEMARLE PRESCHOOL AND CHILD CARE CENTER,1210 U S 17 S ELIZABETH CITY NC 27909,"
(252) 338-6496",Center,Three Star Center License,36.27691556,-76.28306467,https://ncchildcare.ncdhhs.gov/childcaresearch
70000310,ALC ALBEMARLE LEARNING CENTER,1400 N  RD   ST  ELIZABETH CITY NC 27909,"
(252) 335-5551",Center,Five Star Center License,36.33136501,-76.22688578,https://ncchildcare.ncdhhs.gov/childcaresearch
29000752,ALCON'S BILINGUAL LEARNING CENTER INC,1594 OLD US HWY 52 LEXINGTON NC 27295,"
(336) 225-5295",Center,Four Star Center License,35.84822054,-80.25437648,https://ncchildcare.ncdhhs.gov/childcaresearch
41002110,ALDERMAN ELEMENTARY NC PRE-K PROGRAM,4211 CHATEAU DR GREENSBORO NC 27407,"
(336) 294-7320",Center,Four Star Center License,36.04229953,-79.86702586,https://ncchildcare.ncdhhs.gov/childcaresearch
26001508,ALDERMAN ROAD ELEMENTARY,2860 ALDERMAN  RD  FAYETTEVILLE NC 28306,(910) 483-7370,Center,Five Star Center License,34.89522045,-78.86349602,https://ncchildcare.ncdhhs.gov/childcaresearch
26001595,ALDERMAN ROAD PRIME TIME,2860 ALDERMAN RD FAYETTEVILLE NC 28306,(910) 678-2451,Center,Three Star Center License,34.89522045,-78.86349602,https://ncchildcare.ncdhhs.gov/childcaresearch
45000342,ALETHEIA ACADEMY FOR LITTLE PEOPLE,2115 BUTLER BRIDGE   RD   MILLS RIVER NC28759,"
(828) 651-8354",Center,GS 110-106,35.40859535,-82.54854325,https://ncchildcare.ncdhhs.gov/childcaresearch
8159002,ALEXANDER BAPTIST DAY CARE CENTER,1053 S B RD WAY FOREST CITY NC 28043,(828) 245-1975,Center,GS 110-106,35.30803479,-81.85847462,https://ncchildcare.ncdhhs.gov/childcaresearch
255004,ALEXANDER CENTRAL HIGH SCHOOL CHILD DEVELOPMENT CE,223 SCHOOL DR TAYLORSVILLE NC 28681,"
(828) 632-7063",Center,Three Star Center License,35.91786583,-81.19037965,https://ncchildcare.ncdhhs.gov/childcaresearch
2000107,ALEXANDER COUNTY HEAD START - STONY POINT,311 STONY POINT SCHOOL  RD  STONY POINT NC 28678,"
(828) 585-6981",Center,Five Star Center License,35.86929052,-81.04767286,https://ncchildcare.ncdhhs.gov/childcaresearch
2000108,ALEXANDER COUNTY HEAD START - WITTENBURG ELEM. SCH,7300 CHURCH  RD  TAYLORSVILLE NC 28681,(828) 632-2395,Center,Five Star Center License,35.82671884,-81.24033482,https://ncchildcare.ncdhhs.gov/childcaresearch
2000104,ALEXANDER EARLY HEAD START,401 E MAIN  ST  TAYLORSVILLE NC 28681,"
(828) 635-1479",Center,Five Star Center License,35.92210759,-81.16856286,https://ncchildcare.ncdhhs.gov/childcaresearch
1000429,ALEXANDER WILSON ELEMENTARY PRE-K,2518 NC 54 GRAHAM NC 27253,"
(336) 578-1366",Center,Five Star Center License,36.029073,-79.3469417,https://ncchildcare.ncdhhs.gov/childcaresearch
53000350,ALEXANDRIA'S ANGELS CHILDCARE,531 COX MADDOX RD SANFORD NC 27332,(919) 842-9109,Center,Five Star Center License,35.4432779,-79.11466034,https://ncchildcare.ncdhhs.gov/childcaresearch
45000196,ALICE'S PLAYGROUND CENTER,701 A S GROVE  ST  HENDERSONVILLE NC 28792,(828) 697-9449,Center,Four Star Center License,35.30949516,-82.45080253,https://ncchildcare.ncdhhs.gov/childcaresearch
